form_key,form_id,form_version,form_label,type,record_urn,dataelement_urn,source_id,mandatory,repeatable,position,resolution_status
228_1_Data at hospital admission/inclusion,228,1,Data at hospital admission/inclusion,dataelement,,urn:osse-11:dataelement:207:1,X_228_0_207,True,False,7,direct_resolved
228_2_Data at hospital admission/inclusion,228,2,Data at hospital admission/inclusion,dataelement,,urn:osse-11:dataelement:204:1,X_228_0_204,True,False,4,direct_resolved
228_2_Data at hospital admission/inclusion,228,2,Data at hospital admission/inclusion,dataelement,,urn:osse-11:dataelement:205:1,X_228_0_205,True,False,5,direct_resolved
228_2_Data at hospital admission/inclusion,228,2,Data at hospital admission/inclusion,dataelement,,urn:osse-11:dataelement:206:1,X_228_0_206,True,False,6,direct_resolved
228_2_Data at hospital admission/inclusion,228,2,Data at hospital admission/inclusion,dataelement,,urn:osse-11:dataelement:207:1,X_228_0_207,True,False,7,direct_resolved
228_3_Data at visit,228,3,Data at visit,dataelement,,urn:osse-11:dataelement:204:1,X_228_0_204,True,False,4,direct_resolved
228_3_Data at visit,228,3,Data at visit,dataelement,,urn:osse-11:dataelement:205:1,X_228_0_205,True,False,5,direct_resolved
228_3_Data at visit,228,3,Data at visit,dataelement,,urn:osse-11:dataelement:206:1,X_228_0_206,True,False,6,direct_resolved
228_3_Data at visit,228,3,Data at visit,dataelement,,urn:osse-11:dataelement:207:1,X_228_0_207,True,False,7,direct_resolved
229_1_Clinical features,229,1,Clinical features,dataelement,,urn:osse-11:dataelement:122:1,X_229_0_122,True,False,4,direct_resolved
229_1_Clinical features,229,1,Clinical features,dataelement,,urn:osse-11:dataelement:219:1,X_229_0_219,True,False,7,direct_resolved
229_1_Clinical features,229,1,Clinical features,dataelement,,urn:osse-11:dataelement:220:1,X_229_0_220,True,False,8,direct_resolved
229_1_Clinical features,229,1,Clinical features,dataelement,,urn:osse-11:dataelement:221:1,X_229_0_221,True,False,9,direct_resolved
229_1_Clinical features,229,1,Clinical features,dataelement,,urn:osse-11:dataelement:222:1,X_229_0_222,False,True,10,direct_resolved
229_1_Clinical features,229,1,Clinical features,dataelement,,urn:osse-11:dataelement:223:1,X_229_0_223,True,False,11,direct_resolved
229_1_Clinical features,229,1,Clinical features,dataelement,,urn:osse-11:dataelement:224:1,X_229_0_224,True,False,12,direct_resolved
229_1_Clinical features,229,1,Clinical features,dataelement,,urn:osse-11:dataelement:225:1,X_229_0_225,True,False,13,direct_resolved
229_1_Clinical features,229,1,Clinical features,dataelement,,urn:osse-11:dataelement:227:1,X_229_0_227,False,False,15,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:232:1,X_230_0_232,True,False,1,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:233:1,X_230_0_233,True,False,2,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:236:1,X_230_0_236,True,False,5,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:237:1,X_230_0_237,True,False,6,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:67:1,X_230_0_67,True,False,7,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:67:1,X_230_0_67,True,False,8,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:69:1,X_230_0_69,True,False,9,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:238:1,X_230_0_238,True,False,10,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:239:1,X_230_0_239,True,False,11,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:240:1,X_230_0_240,True,False,12,direct_resolved
