form_key;form_id;form_version;form_label;urn;type;element_label;mandatory;repeatable;position
224_1_ACLF evaluation;224;1;ACLF evaluation;urn:osse-11:record:19:1;record;Circulatory failure;False;False;7
224_1_ACLF evaluation;224;1;ACLF evaluation;urn:osse-11:record:20:1;record;Respiratory failure;False;False;8
224_2_ACLF evaluation;224;2;ACLF evaluation;urn:osse-11:record:16:1;record;Liver failure;False;False;1
224_2_ACLF evaluation;224;2;ACLF evaluation;urn:osse-11:record:17:1;record;Renal failure;False;False;2
224_2_ACLF evaluation;224;2;ACLF evaluation;urn:osse-11:record:18:1;record;Coagulation failure;False;False;3
224_2_ACLF evaluation;224;2;ACLF evaluation;urn:osse-11:dataelement:62:1;dataelement;Cerebral failure;False;False;5
224_2_ACLF evaluation;224;2;ACLF evaluation;urn:osse-11:dataelement:63:1;dataelement;West Haven grade;False;False;6
224_2_ACLF evaluation;224;2;ACLF evaluation;urn:osse-11:record:19:1;record;Circulatory failure;False;False;7
224_2_ACLF evaluation;224;2;ACLF evaluation;urn:osse-11:record:20:1;record;Respiratory failure;False;False;8
224_2_ACLF evaluation;224;2;ACLF evaluation;urn:osse-11:dataelement:88:1;dataelement;CLIF Organ Failure Score;False;False;9
224_2_ACLF evaluation;224;2;ACLF evaluation;urn:osse-11:dataelement:89:1;dataelement;ACLF;False;False;10
224_2_ACLF evaluation;224;2;ACLF evaluation;urn:osse-11:dataelement:90:1;dataelement;ACLF;False;False;11
224_2_ACLF evaluation;224;2;ACLF evaluation;urn:osse-11:dataelement:91:1;dataelement;CLIF-C AD score;False;False;12
225_1_Patient’s information and Medical history;225;1;Patient’s information and Medical history;urn:osse-11:dataelement:55:1;dataelement;Date of birth;True;False;1
225_1_Patient’s information and Medical history;225;1;Patient’s information and Medical history;urn:osse-11:dataelement:92:1;dataelement;Gender;True;False;2
225_1_Patient’s information and Medical history;225;1;Patient’s information and Medical history;urn:osse-11:record:21:1;record;Tobacco consumption;False;False;3
225_1_Patient’s information and Medical history;225;1;Patient’s information and Medical history;urn:osse-11:record:22:1;record;Diagnosis of Cirrhosis;False;False;4
225_1_Patient’s information and Medical history;225;1;Patient’s information and Medical history;urn:osse-11:dataelement:104:1;dataelement;Etiology of cirrhosis;True;False;5
225_1_Patient’s information and Medical history;225;1;Patient’s information and Medical history;urn:osse-11:dataelement:105:1;dataelement;Biopsy proved cirrhosis;True;False;6
225_1_Patient’s information and Medical history;225;1;Patient’s information and Medical history;urn:osse-11:record:23:1;record;Other previous /concomitant medical disease;False;False;7
226_1_Clinical course;226;1;Clinical course;urn:osse-11:dataelement:112:1;dataelement;Time prior to Hospital Study Admission;True;False;1
226_1_Clinical course;226;1;Clinical course;urn:osse-11:record:24:1;record;Alcohol consumption during the period;False;False;2
226_1_Clinical course;226;1;Clinical course;urn:osse-11:dataelement:113:1;dataelement;Any prior decompensation prior to hospital study admission ?;False;False;4
226_1_Clinical course;226;1;Clinical course;urn:osse-11:record:25:1;record;Prior ascites;False;False;5
226_1_Clinical course;226;1;Clinical course;urn:osse-11:record:26:1;record;Prior hepatic encephalopathy;False;False;6
226_1_Clinical course;226;1;Clinical course;urn:osse-11:record:27:1;record;Prior gastrointestinal bleeding;False;False;7
226_1_Clinical course;226;1;Clinical course;urn:osse-11:record:28:1;record;Prior bacterial infections;False;False;8
226_1_Clinical course;226;1;Clinical course;urn:osse-11:record:29:1;record;Prior ACLF;False;False;9
226_1_Clinical course;226;1;Clinical course;urn:osse-11:dataelement:130:1;dataelement;6. Acute alcoholic-steatohepatitis (ASH);False;False;10
226_1_Clinical course;226;1;Clinical course;urn:osse-11:dataelement:131:1;dataelement;7. Acute viral hepatitis superimposed to cirrhosis;False;False;11
226_1_Clinical course;226;1;Clinical course;urn:osse-11:dataelement:132:1;dataelement;8. Suspected drug-induced liver injury;False;False;12
226_1_Clinical course;226;1;Clinical course;urn:osse-11:record:30:1;record;Prior HCC;False;False;13
226_1_Clinical course;226;1;Clinical course;urn:osse-11:dataelement:137:1;dataelement;Other relevant clinical events;False;False;14
226_2_Clinical course;226;2;Clinical course;urn:osse-11:dataelement:112:1;dataelement;Time prior to Hospital Study Admission;True;False;1
226_2_Clinical course;226;2;Clinical course;urn:osse-11:record:24:1;record;Alcohol consumption during the period;False;False;2
226_2_Clinical course;226;2;Clinical course;urn:osse-11:dataelement:113:1;dataelement;Any prior decompensation prior to hospital study admission ?;True;False;4
226_2_Clinical course;226;2;Clinical course;urn:osse-11:record:25:1;record;Prior ascites;True;False;5
226_2_Clinical course;226;2;Clinical course;urn:osse-11:record:26:1;record;Prior hepatic encephalopathy;True;False;6
226_2_Clinical course;226;2;Clinical course;urn:osse-11:record:27:1;record;Prior gastrointestinal bleeding;True;False;7
226_2_Clinical course;226;2;Clinical course;urn:osse-11:record:28:1;record;Prior bacterial infections;True;False;8
226_2_Clinical course;226;2;Clinical course;urn:osse-11:record:29:1;record;Prior ACLF;True;False;9
226_2_Clinical course;226;2;Clinical course;urn:osse-11:dataelement:130:1;dataelement;6. Acute alcoholic-steatohepatitis (ASH);True;False;10
226_2_Clinical course;226;2;Clinical course;urn:osse-11:dataelement:131:1;dataelement;7. Acute viral hepatitis superimposed to cirrhosis;True;False;11
226_2_Clinical course;226;2;Clinical course;urn:osse-11:dataelement:132:1;dataelement;8. Suspected drug-induced liver injury;True;False;12
226_2_Clinical course;226;2;Clinical course;urn:osse-11:record:30:1;record;Prior HCC;False;False;13
226_2_Clinical course;226;2;Clinical course;urn:osse-11:dataelement:137:1;dataelement;Other relevant clinical events;False;False;14
227_1_Previous treatments;227;1;Previous treatments;urn:osse-11:dataelement:112:1;dataelement;Time prior to Hospital Study Admission;True;False;1
227_1_Previous treatments;227;1;Previous treatments;urn:osse-11:record:31:1;record;1. Alcoholic cirrhosis;True;False;3
