dataelement_id;dataelement_version;dataelement_urn;pv_value;pv_language;pv_designation;pv_definition;pv_selection
116;1;urn:osse-11:dataelement:116:1;1;en;1;1;SELECT_ONE_RADIO
116;1;urn:osse-11:dataelement:116:1;2;en;2;2;SELECT_ONE_RADIO
116;1;urn:osse-11:dataelement:116:1;3;en;3;3;SELECT_ONE_RADIO
116;1;urn:osse-11:dataelement:116:1;> 3;en;> 3;> 3;SELECT_ONE_RADIO
116;1;urn:osse-11:dataelement:116:1;n.a.;en;Not available;Not available;SELECT_ONE_RADIO
117;1;urn:osse-11:dataelement:117:1;Mild;en;Mild;Mild;SELECT_ONE_RADIO
117;1;urn:osse-11:dataelement:117:1;Moderate;en;Moderate;Moderate;SELECT_ONE_RADIO
117;1;urn:osse-11:dataelement:117:1;Large/Tense;en;Large/Tense;Large/Tense;SELECT_ONE_RADIO
117;1;urn:osse-11:dataelement:117:1;n.a.;en;n.a.;Not available;SELECT_ONE_RADIO
118;1;urn:osse-11:dataelement:118:1;1;en;1;1;SELECT_ONE_RADIO
118;1;urn:osse-11:dataelement:118:1;2;en;2;2;SELECT_ONE_RADIO
118;1;urn:osse-11:dataelement:118:1;3;en;3;3;SELECT_ONE_RADIO
118;1;urn:osse-11:dataelement:118:1;> 3;en;> 3;> 3;SELECT_ONE_RADIO
118;1;urn:osse-11:dataelement:118:1;n.a.;en;n.a.;n.a.;SELECT_ONE_RADIO
119;1;urn:osse-11:dataelement:119:1;Yes;en;Had episodic overt HE;Had episodic overt HE;SELECT_ONE_RADIO
119;1;urn:osse-11:dataelement:119:1;No;en;No episodic overt HE;No episodic overt HE;SELECT_ONE_RADIO
119;1;urn:osse-11:dataelement:119:1;n.a.;en;Not available;Not available;SELECT_ONE_RADIO
120;1;urn:osse-11:dataelement:120:1;Yes;en;Recurrent overt HE;the patient has had at least another episode over the last 6 months;SELECT_ONE_RADIO
120;1;urn:osse-11:dataelement:120:1;No;en;No recurrent overt HE;the patient has had no episode over the last 6 months;SELECT_ONE_RADIO
120;1;urn:osse-11:dataelement:120:1;n.a.;en;Not available;Not available;SELECT_ONE_RADIO
121;1;urn:osse-11:dataelement:121:1;Yes;en;Had persistent overt HE;the patient never goes back to normal neuropsychiatric performance, and between episodes of severe Overt HE remains encephalopatic, albeit less severely so;SELECT_ONE_RADIO
121;1;urn:osse-11:dataelement:121:1;No;de;No persistent overt HE;No persistent overt HE;SELECT_ONE_RADIO
121;1;urn:osse-11:dataelement:121:1;n.a.;de;Not applicable;Not applicable;SELECT_ONE_RADIO
122;1;urn:osse-11:dataelement:122:1;Yes;en;Had gastrointestinal bleeding;Had gastrointestinal bleeding;SELECT_ONE_RADIO
122;1;urn:osse-11:dataelement:122:1;No;en;No gastrointestinal bleeding;No gastrointestinal bleeding;SELECT_ONE_RADIO
122;1;urn:osse-11:dataelement:122:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
123;1;urn:osse-11:dataelement:123:1;Variceal bleeding;en;Variceal bleeding;Variceal bleeding;SELECT_MANY_CHECKBOX
123;1;urn:osse-11:dataelement:123:1;Peptic ulcer;en;Peptic ulcer;Peptic ulcer;SELECT_MANY_CHECKBOX
