dataelement_id;dataelement_version;dataelement_urn;status;language;dataelement_designation;dataelement_definition;datatype;format;slots
170;1;urn:osse-11:dataelement:170:1;RELEASED;en;7. Artificial liver support;7. Artificial liver support;enumerated;enumerated;SELECT_ONE_RADIO
171;1;urn:osse-11:dataelement:171:1;RELEASED;en;8. Omeprazol or other PPI;8. Omeprazol or other PPI;enumerated;enumerated;SELECT_ONE_RADIO
172;1;urn:osse-11:dataelement:172:1;RELEASED;en;9. Endoscopic therapy of bleeding;9. Endoscopic therapy of bleeding;enumerated;enumerated;SELECT_ONE_RADIO
173;1;urn:osse-11:dataelement:173:1;RELEASED;en;10. Lactulose;10. Lactulose;enumerated;enumerated;SELECT_ONE_RADIO
174;1;urn:osse-11:dataelement:174:1;RELEASED;en;11. Rifaximin for HE;11. Rifaximin for HE;enumerated;enumerated;SELECT_ONE_RADIO
175;1;urn:osse-11:dataelement:175:1;RELEASED;en;TIPS;TIPS;enumerated;enumerated;SELECT_ONE_RADIO
176;1;urn:osse-11:dataelement:176:1;RELEASED;en;Indication;Indication for TIPS;enumerated;enumerated;SELECT_MANY_CHECKBOX
177;1;urn:osse-11:dataelement:177:1;RELEASED;en;Other specification for TIPS indication;Other specification for TIPS indication;STRING;;
178;1;urn:osse-11:dataelement:178:1;RELEASED;en;Antibiotic prophylaxis;Antibiotic prophylaxis;enumerated;enumerated;SELECT_ONE_RADIO
179;1;urn:osse-11:dataelement:179:1;RELEASED;en;Indication;Indication for antibiotic prophylaxis;enumerated;enumerated;SELECT_MANY_CHECKBOX
180;1;urn:osse-11:dataelement:180:1;RELEASED;en;14. Antibiotic for infection (nonprophylactic);14. Antibiotic for infection (nonprophylactic);enumerated;enumerated;SELECT_ONE_RADIO
181;1;urn:osse-11:dataelement:181:1;RELEASED;en;Corticosteroids;Corticosteroids;enumerated;enumerated;SELECT_ONE_RADIO
182;1;urn:osse-11:dataelement:182:1;RELEASED;en;Indication (other than autoimmune cirrhosis);Indication for Corticosteroids (other than autoimmune cirrhosis);STRING;;
183;1;urn:osse-11:dataelement:183:1;RELEASED;en;Treatments for HCC;Treatments for HCC;enumerated;enumerated;SELECT_ONE_RADIO
184;1;urn:osse-11:dataelement:184:1;RELEASED;en;Type of treatments;Type of treatments for HCC;enumerated;enumerated;SELECT_MANY_CHECKBOX
185;1;urn:osse-11:dataelement:185:1;RELEASED;en;17. Insulin;17. Insulin;enumerated;enumerated;SELECT_ONE_RADIO
186;1;urn:osse-11:dataelement:186:1;RELEASED;en;Oral antidiabetics;Oral antidiabetics;enumerated;enumerated;SELECT_ONE_RADIO
187;1;urn:osse-11:dataelement:187:1;RELEASED;en;Metformin;Metformin for oral antidiabetics;enumerated;enumerated;SELECT_ONE_RADIO
188;1;urn:osse-11:dataelement:188:1;RELEASED;en;19. Statins;19. Statins;enumerated;enumerated;SELECT_ONE_RADIO
189;1;urn:osse-11:dataelement:189:1;RELEASED;en;Non-bariatric surgery;Non-bariatric surgery;enumerated;enumerated;SELECT_ONE_RADIO
190;1;urn:osse-11:dataelement:190:1;RELEASED;en;Type of surgery;Type of surgery;enumerated;enumerated;SELECT_MANY_CHECKBOX
191;1;urn:osse-11:dataelement:191:1;RELEASED;en;ICU admission;ICU admission;enumerated;enumerated;SELECT_ONE_RADIO
192;1;urn:osse-11:dataelement:192:1;RELEASED;en;Number of ICU admissions;Number of ICU admissions;INTEGER;0<=x<=20;
193;1;urn:osse-11:dataelement:193:1;RELEASED;en;Any drug with potential hepatotoxic effect;Any drug with potential hepatotoxic effect;enumerated;enumerated;SELECT_ONE_RADIO
194;1;urn:osse-11:dataelement:194:1;RELEASED;en;Any drug with potential adverse effect;Any drug with potential adverse effect;enumerated;enumerated;SELECT_ONE_RADIO
195;1;urn:osse-11:dataelement:195:1;RELEASED;en;Drug with potential hepatotoxic effect;Drug with potential hepatotoxic effect;STRING;;
196;1;urn:osse-11:dataelement:196:1;RELEASED;en;Drug with potential adverse effect;Drug with potential adverse effect;STRING;;
197;1;urn:osse-11:dataelement:197:1;RELEASED;en;Visit Date;Visit Date;DATE;DD.MM.YYYY;
198;1;urn:osse-11:dataelement:198:1;RELEASED;en;Is the patient already included in a prophylactic or therapeutic;Is the patient already included in a prophylactic or therapeutic;enumerated;enumerated;SELECT_ONE_RADIO
199;1;urn:osse-11:dataelement:199:1;RELEASED;en;Type of study;Type of study;enumerated;enumerated;SELECT_MANY_CHECKBOX
200;1;urn:osse-11:dataelement:200:1;RELEASED;en;Study treatment specification;Study treatment specification;STRING;;
201;1;urn:osse-11:dataelement:201:1;RELEASED;en;Control treatment specification;Control treatment specification;STRING;;
202;1;urn:osse-11:dataelement:202:1;RELEASED;en;Does the patient continue in the study;Does the patient continue in the study;enumerated;enumerated;SELECT_ONE_RADIO
203;1;urn:osse-11:dataelement:203:1;RELEASED;en;Alcohol consumption since last visit;Alcohol consumption since last visit;enumerated;enumerated;SELECT_ONE_RADIO
208;1;urn:osse-11:dataelement:208:1;RELEASED;en;Has the patient developed any decompensation?;Has the patient developed any decompensation?;enumerated;enumerated;SELECT_ONE_RADIO
209;1;urn:osse-11:dataelement:209:1;RELEASED;en;Precipitating events HE;Precipitating events HE;enumerated;enumerated;SELECT_MANY_CHECKBOX
210;1;urn:osse-11:dataelement:210:1;RELEASED;en;Previous to inclusion of HVPG?;Previous to inclusion of HVPG?;enumerated;enumerated;SELECT_ONE_RADIO
211;1;urn:osse-11:dataelement:211:1;RELEASED;en;HVPG;Hepatic-venous-pressure-gradient;INTEGER;0<=x<=1000;
212;1;urn:osse-11:dataelement:212:1;RELEASED;en;Date of HVPG;Date of HVPG;DATE;DD.MM.YYYY;
213;1;urn:osse-11:dataelement:213:1;RELEASED;en;At current visit?;At current visit?;enumerated;enumerated;SELECT_ONE_RADIO
214;1;urn:osse-11:dataelement:214:1;RELEASED;en;HVPG;HVPG current;INTEGER;0<=x<=1000;
215;1;urn:osse-11:dataelement:215:1;RELEASED;en;AKI (not caused by GIB);AKI (not caused by GIB);enumerated;enumerated;SELECT_ONE_RADIO
