Form;form_id;form_type;record_urn;record_designation;record_mandatory;record_repeatable;dataelement_urn;dataelement_designation;dataelement_definition;dataelement_mandatory;dataelement_repeatable;data_type;data_format;unit;source_id;slots
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:112:1;Time prior to Hospital Study Admission;Time prior to Hospital Study Admission;true;false;enumerated;enumerated;;X_227_0_112;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:31:1;1. Alcoholic cirrhosis;false;false;urn:osse-11:dataelement:138:1;Alcoholic cirrhosis;Alcoholic cirrhosis;;;enumerated;enumerated;;X_227_31_138;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:31:1;1. Alcoholic cirrhosis;false;false;urn:osse-11:dataelement:139:1;Type of therapy;Type of therapy for alcoholic cirrhosis;;;enumerated;enumerated;;X_227_31_139;SELECT_MANY_CHECKBOX
Previous treatments;227:3;Basic;urn:osse-11:record:31:1;1. Alcoholic cirrhosis;false;false;urn:osse-11:dataelement:140:1;Treatment response;Treatment response for alcoholic cirrhosis;;;enumerated;enumerated;;X_227_31_140;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:32:1;2. Hepatitis C virus antiviral therapy;false;false;urn:osse-11:dataelement:141:1;Hepatitis C virus antiviral therapy;Hepatitis C virus antiviral therapy;;;enumerated;enumerated;;X_227_32_141;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:32:1;2. Hepatitis C virus antiviral therapy;false;false;urn:osse-11:dataelement:142:1;Virus therapy;Virus therapy for HCV;;;enumerated;enumerated;;X_227_32_142;SELECT_MANY_CHECKBOX
Previous treatments;227:3;Basic;urn:osse-11:record:32:1;2. Hepatitis C virus antiviral therapy;false;false;urn:osse-11:dataelement:143:1;Antiviral therapy terminated ;Antiviral therapy terminated for HCV;;;enumerated;enumerated;;X_227_32_143;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:32:1;2. Hepatitis C virus antiviral therapy;false;false;urn:osse-11:dataelement:144:1;Sustained virological response;Sustained virological response for HCV;;;enumerated;enumerated;;X_227_32_144;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:32:1;2. Hepatitis C virus antiviral therapy;false;false;urn:osse-11:dataelement:145:1;Early virological response;Early virological response for HCV;;;enumerated;enumerated;;X_227_32_145;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:33:1;3. Hepatitis B virus antiviral therapy;false;false;urn:osse-11:dataelement:146:1;Hepatitis B virus antiviral therapy;Hepatitis B virus antiviral therapy;;;enumerated;enumerated;;X_227_33_146;SELECT_ONE_RADIO
