PID;form_id;form_version;form_key;form_label;type;record_urn;dataelement_urn;source_id;mandatory;repeatable;position;resolution_status
197;224;4;224_4_ACLF evaluation;ACLF evaluation;dataelement;;urn:osse-11:dataelement:89:1;X_224_0_89;False;False;13;direct_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;dataelement;;urn:osse-11:dataelement:90:1;X_224_0_90;False;False;14;direct_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;dataelement;;urn:osse-11:dataelement:91:1;X_224_0_91;False;False;15;direct_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:16:1;urn:osse-11:dataelement:57:1;X_224_16_57;False;False;1;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:16:1;urn:osse-11:dataelement:58:1;X_224_16_58;False;False;1;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:17:1;urn:osse-11:dataelement:59:1;X_224_17_59;False;False;2;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:17:1;urn:osse-11:dataelement:60:1;X_224_17_60;False;False;2;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:17:1;urn:osse-11:dataelement:61:1;X_224_17_61;False;False;2;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:18:1;urn:osse-11:dataelement:64:1;X_224_18_64;False;False;3;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:18:1;urn:osse-11:dataelement:65:1;X_224_18_65;False;False;3;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:19:1;urn:osse-11:dataelement:66:1;X_224_19_66;False;False;7;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:19:1;urn:osse-11:dataelement:67:1;X_224_19_67;False;False;7;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:19:1;urn:osse-11:dataelement:68:1;X_224_19_68;False;False;7;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:19:1;urn:osse-11:dataelement:69:1;X_224_19_69;False;False;7;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:19:1;urn:osse-11:dataelement:70:1;X_224_19_70;False;False;7;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:20:1;urn:osse-11:dataelement:71:1;X_224_20_71;False;False;8;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:20:1;urn:osse-11:dataelement:72:1;X_224_20_72;False;False;8;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:20:1;urn:osse-11:dataelement:73:1;X_224_20_73;False;False;8;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:20:1;urn:osse-11:dataelement:74:1;X_224_20_74;False;False;8;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:20:1;urn:osse-11:dataelement:75:1;X_224_20_75;False;False;8;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:20:1;urn:osse-11:dataelement:76:1;X_224_20_76;False;False;8;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:20:1;urn:osse-11:dataelement:77:1;X_224_20_77;False;False;8;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:20:1;urn:osse-11:dataelement:78:1;X_224_20_78;False;False;8;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:20:1;urn:osse-11:dataelement:80:1;X_224_20_80;False;False;8;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:20:1;urn:osse-11:dataelement:81:1;X_224_20_81;False;False;8;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:20:1;urn:osse-11:dataelement:82:1;X_224_20_82;False;False;8;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:20:1;urn:osse-11:dataelement:83:1;X_224_20_83;False;False;8;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:20:1;urn:osse-11:dataelement:84:1;X_224_20_84;False;False;8;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:20:1;urn:osse-11:dataelement:85:1;X_224_20_85;False;False;8;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:20:1;urn:osse-11:dataelement:79:1;X_224_20_79;False;False;8;record_resolved
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:20:1;urn:osse-11:dataelement:86:1;X_224_20_86;False;False;8;record_resolved
