source_id,dataelement_urn,denominator_n,numerator_n,metric,completeness_percent
X_235_63_323,urn:osse-11:dataelement:323:1,431,382,Least complete elements,88.63
X_229_52_215,urn:osse-11:dataelement:215:1,448,398,Least complete elements,88.84
X_233_38_166,urn:osse-11:dataelement:166:1,523,465,Least complete elements,88.91
X_233_0_158,urn:osse-11:dataelement:158:1,443,394,Least complete elements,88.94
X_235_60_239,urn:osse-11:dataelement:239:1,434,386,Least complete elements,88.94
X_233_55_164,urn:osse-11:dataelement:164:1,450,401,Least complete elements,89.11
X_235_60_238,urn:osse-11:dataelement:238:1,434,387,Least complete elements,89.17
X_233_0_159,urn:osse-11:dataelement:159:1,441,394,Least complete elements,89.34
X_235_64_66,urn:osse-11:dataelement:66:1,433,387,Least complete elements,89.38
X_229_53_226,urn:osse-11:dataelement:226:2,896,802,Least complete elements,89.51
X_233_34_153,urn:osse-11:dataelement:153:1,440,394,Least complete elements,89.55
X_235_64_67,urn:osse-11:dataelement:67:1,433,388,Least complete elements,89.61
X_235_64_68,urn:osse-11:dataelement:68:1,433,388,Least complete elements,89.61
X_230_0_236,urn:osse-11:dataelement:236:1,448,403,Least complete elements,89.96
X_233_40_176,urn:osse-11:dataelement:176:1,452,407,Least complete elements,90.04
X_229_54_231,urn:osse-11:dataelement:231:1,446,402,Least complete elements,90.13
X_233_35_156,urn:osse-11:dataelement:156:1,439,396,Least complete elements,90.21
X_223_2_13,urn:osse-11:dataelement:13:2,804,726,Least complete elements,90.3
X_224_0_90,urn:osse-11:dataelement:90:1,261,236,Least complete elements,90.42
X_230_0_239,urn:osse-11:dataelement:239:1,444,402,Least complete elements,90.54
X_233_0_169,urn:osse-11:dataelement:169:1,438,397,Least complete elements,90.64
X_235_0_91,urn:osse-11:dataelement:91:1,429,389,Least complete elements,90.68
X_227_45_190,urn:osse-11:dataelement:190:1,249,226,Least complete elements,90.76
X_230_0_238,urn:osse-11:dataelement:238:1,444,403,Least complete elements,90.77
X_230_0_69,urn:osse-11:dataelement:69:1,443,403,Least complete elements,90.97
X_227_34_152,urn:osse-11:dataelement:152:1,248,226,Least complete elements,91.13
X_231_0_263,urn:osse-11:dataelement:263:1,444,405,Least complete elements,91.22
X_233_0_188,urn:osse-11:dataelement:188:1,436,398,Least complete elements,91.28
X_226_29_118,urn:osse-11:dataelement:118:1,257,235,Least complete elements,91.44
X_233_0_172,urn:osse-11:dataelement:172:1,435,399,Least complete elements,91.72
X_233_0_193,urn:osse-11:dataelement:193:1,436,400,Least complete elements,91.74
X_229_0_224,urn:osse-11:dataelement:224:1,442,406,Least complete elements,91.86
X_233_42_181,urn:osse-11:dataelement:181:1,434,399,Least complete elements,91.94
X_227_32_142,urn:osse-11:dataelement:142:1,262,241,Least complete elements,91.98
X_230_0_68,urn:osse-11:dataelement:68:1,439,404,Least complete elements,92.03
X_227_43_184,urn:osse-11:dataelement:184:1,251,231,Least complete elements,92.03
X_230_0_67,urn:osse-11:dataelement:67:1,441,406,Least complete elements,92.06
X_227_39_168,urn:osse-11:dataelement:168:1,255,235,Least complete elements,92.16
X_227_35_155,urn:osse-11:dataelement:155:1,258,238,Least complete elements,92.25
X_227_34_151,urn:osse-11:dataelement:151:1,496,458,Least complete elements,92.34
X_227_33_147,urn:osse-11:dataelement:147:1,250,231,Least complete elements,92.4
X_233_31_139,urn:osse-11:dataelement:139:1,436,403,Least complete elements,92.43
X_235_0_321,urn:osse-11:dataelement:321:1,424,392,Least complete elements,92.45
X_233_32_145,urn:osse-11:dataelement:145:1,431,399,Least complete elements,92.58
X_233_35_154,urn:osse-11:dataelement:154:1,432,400,Least complete elements,92.59
X_226_30_136,urn:osse-11:dataelement:136:1,257,238,Least complete elements,92.61
X_233_33_149,urn:osse-11:dataelement:149:1,435,403,Least complete elements,92.64
X_227_35_157,urn:osse-11:dataelement:157:1,248,230,Least complete elements,92.74
X_233_44_187,urn:osse-11:dataelement:187:1,430,399,Least complete elements,92.79
X_233_0_185,urn:osse-11:dataelement:185:1,431,401,Least complete elements,93.04
X_233_39_167,urn:osse-11:dataelement:167:1,430,401,Least complete elements,93.26
X_233_44_186,urn:osse-11:dataelement:186:1,431,402,Least complete elements,93.27
X_233_33_148,urn:osse-11:dataelement:148:1,433,404,Least complete elements,93.3
X_226_27_118,urn:osse-11:dataelement:118:1,257,240,Least complete elements,93.39
X_226_28_118,urn:osse-11:dataelement:118:1,257,240,Least complete elements,93.39
X_233_41_178,urn:osse-11:dataelement:178:1,430,402,Least complete elements,93.49
X_233_32_143,urn:osse-11:dataelement:143:1,431,404,Least complete elements,93.74
X_233_34_150,urn:osse-11:dataelement:150:1,431,404,Least complete elements,93.74
X_231_0_357,urn:osse-11:dataelement:357:1,433,406,Least complete elements,93.76
X_226_26_118,urn:osse-11:dataelement:118:1,257,241,Least complete elements,93.77
X_226_29_128,urn:osse-11:dataelement:128:1,257,241,Least complete elements,93.77
X_229_0_223,urn:osse-11:dataelement:223:1,436,409,Least complete elements,93.81
X_235_69_256,urn:osse-11:dataelement:256:1,420,394,Least complete elements,93.81
X_225_22_99,urn:osse-11:dataelement:99:1,261,245,Least complete elements,93.87
X_230_0_74,urn:osse-11:dataelement:74:1,431,405,Least complete elements,93.97
X_235_69_264,urn:osse-11:dataelement:264:1,420,395,Least complete elements,94.05
X_233_0_162,urn:osse-11:dataelement:162:1,427,402,Least complete elements,94.15
X_229_0_220,urn:osse-11:dataelement:220:1,433,408,Least complete elements,94.23
X_224_20_74,urn:osse-11:dataelement:74:1,261,246,Least complete elements,94.25
X_233_0_174,urn:osse-11:dataelement:174:1,426,402,Least complete elements,94.37
X_233_0_170,urn:osse-11:dataelement:170:1,427,403,Least complete elements,94.38
X_233_36_161,urn:osse-11:dataelement:161:1,612,578,Least complete elements,94.44
X_235_0_56,urn:osse-11:dataelement:56:1,419,396,Least complete elements,94.51
X_235_68_266,urn:osse-11:dataelement:266:1,419,396,Least complete elements,94.51
X_226_26_121,urn:osse-11:dataelement:121:1,257,243,Least complete elements,94.55
X_226_29_127,urn:osse-11:dataelement:127:1,257,243,Least complete elements,94.55
X_227_40_176,urn:osse-11:dataelement:176:1,258,244,Least complete elements,94.57
X_233_0_171,urn:osse-11:dataelement:171:1,426,403,Least complete elements,94.6
X_225_22_102,urn:osse-11:dataelement:102:1,261,247,Least complete elements,94.64
X_231_0_266,urn:osse-11:dataelement:266:1,434,411,Least complete elements,94.7
X_225_22_101,urn:osse-11:dataelement:101:1,416,394,Least complete elements,94.71
X_227_0_172,urn:osse-11:dataelement:172:1,248,235,Least complete elements,94.76
X_233_31_140,urn:osse-11:dataelement:140:1,424,402,Least complete elements,94.81
X_227_38_166,urn:osse-11:dataelement:166:1,293,278,Least complete elements,94.88
X_227_37_164,urn:osse-11:dataelement:164:1,256,243,Least complete elements,94.92
X_227_41_179,urn:osse-11:dataelement:179:1,256,243,Least complete elements,94.92
X_226_0_130,urn:osse-11:dataelement:130:1,257,244,Least complete elements,94.94
X_226_0_132,urn:osse-11:dataelement:132:1,257,244,Least complete elements,94.94
X_226_25_116,urn:osse-11:dataelement:116:1,257,244,Least complete elements,94.94
X_226_26_119,urn:osse-11:dataelement:119:1,257,244,Least complete elements,94.94
X_233_38_165,urn:osse-11:dataelement:165:1,424,403,Least complete elements,95.05
X_233_45_189,urn:osse-11:dataelement:189:1,424,403,Least complete elements,95.05
X_233_33_146,urn:osse-11:dataelement:146:1,427,406,Least complete elements,95.08
X_227_0_188,urn:osse-11:dataelement:188:1,248,236,Least complete elements,95.16
X_227_33_148,urn:osse-11:dataelement:148:1,248,236,Least complete elements,95.16
X_227_33_149,urn:osse-11:dataelement:149:1,248,236,Least complete elements,95.16
X_235_0_320,urn:osse-11:dataelement:320:1,415,395,Least complete elements,95.18
X_227_31_139,urn:osse-11:dataelement:139:1,251,239,Least complete elements,95.22
X_233_36_160,urn:osse-11:dataelement:160:1,423,403,Least complete elements,95.27
X_233_0_173,urn:osse-11:dataelement:173:1,424,404,Least complete elements,95.28
X_233_0_180,urn:osse-11:dataelement:180:1,424,404,Least complete elements,95.28
X_233_43_183,urn:osse-11:dataelement:183:1,424,404,Least complete elements,95.28
X_233_40_175,urn:osse-11:dataelement:175:1,425,405,Least complete elements,95.29
X_226_0_109,urn:osse-11:dataelement:109:1,255,243,Least complete elements,95.29
X_226_30_133,urn:osse-11:dataelement:133:1,257,245,Least complete elements,95.33
X_228_47_198,urn:osse-11:dataelement:198:1,429,409,Least complete elements,95.34
X_224_19_69,urn:osse-11:dataelement:69:1,261,249,Least complete elements,95.4
X_235_56_266,urn:osse-11:dataelement:266:1,416,397,Least complete elements,95.43
X_233_55_163,urn:osse-11:dataelement:163:1,423,404,Least complete elements,95.51
X_230_0_349,urn:osse-11:dataelement:349:1,427,408,Least complete elements,95.55
X_227_0_158,urn:osse-11:dataelement:158:1,248,237,Least complete elements,95.56
X_227_0_159,urn:osse-11:dataelement:159:1,248,237,Least complete elements,95.56
X_227_0_162,urn:osse-11:dataelement:162:1,248,237,Least complete elements,95.56
X_227_0_171,urn:osse-11:dataelement:171:1,248,237,Least complete elements,95.56
X_227_0_194,urn:osse-11:dataelement:194:1,248,237,Least complete elements,95.56
X_227_32_145,urn:osse-11:dataelement:145:1,248,237,Least complete elements,95.56
X_227_35_156,urn:osse-11:dataelement:156:1,248,237,Least complete elements,95.56
X_235_68_256,urn:osse-11:dataelement:256:1,414,396,Least complete elements,95.65
X_226_0_131,urn:osse-11:dataelement:131:1,257,246,Least complete elements,95.72
X_226_26_120,urn:osse-11:dataelement:120:1,257,246,Least complete elements,95.72
X_224_0_63,urn:osse-11:dataelement:63:1,261,250,Least complete elements,95.79
X_224_19_70,urn:osse-11:dataelement:70:1,261,250,Least complete elements,95.79
X_235_68_245,urn:osse-11:dataelement:245:1,413,396,Least complete elements,95.88
X_227_0_170,urn:osse-11:dataelement:170:1,248,238,Least complete elements,95.97
X_227_34_150,urn:osse-11:dataelement:150:1,248,238,Least complete elements,95.97
X_227_34_153,urn:osse-11:dataelement:153:1,248,238,Least complete elements,95.97
X_227_45_189,urn:osse-11:dataelement:189:1,248,238,Least complete elements,95.97
