form;formid_version;form_type;record_urn;record_designation;record_mandatory;record_repeatable;dataelement_urn;dataelement_designation;dataelement_definition;dataelement_mandatory;dataelement_repeatable;data_type;data_format;unit_measure;id;form_id;form_version
Clinical features;229:3;Longitudinal;urn:osse-11:record:53:1;12. Hepatocellular carcinoma;false;false;urn:osse-11:dataelement:226:2;Hepatocellular carcinoma;Hepatocellular carcinoma;;;enumerated;enumerated;;197;229;3
Clinical features;229:3;Longitudinal;urn:osse-11:record:53:1;12. Hepatocellular carcinoma;false;false;urn:osse-11:dataelement:134:1;Number of nodules of HCC;Number of nodules of HCC;;;INTEGER;0<=x<=10;;198;229;3
Clinical features;229:3;Longitudinal;urn:osse-11:record:53:1;12. Hepatocellular carcinoma;false;false;urn:osse-11:dataelement:135:1;Maximum size of nodules;Maximum size of nodules;;;INTEGER;0<=x<=100;mm;199;229;3
Clinical features;229:3;Longitudinal;urn:osse-11:record:53:1;12. Hepatocellular carcinoma;false;false;urn:osse-11:dataelement:136:1;Vascular invasion;Vascular invasion;;;enumerated;enumerated;;200;229;3
Treatment;233:10;Longitudinal;urn:osse-11:record:40:1;12. TIPS;false;false;urn:osse-11:dataelement:175:1;TIPS;TIPS;;;enumerated;enumerated;;328;233;10
Treatment;233:10;Longitudinal;urn:osse-11:record:40:1;12. TIPS;false;false;urn:osse-11:dataelement:176:1;Indication;Indication for TIPS;;;enumerated;enumerated;;329;233;10
Treatment;233:10;Longitudinal;urn:osse-11:record:40:1;12. TIPS;false;false;urn:osse-11:dataelement:177:1;Other specification for TIPS indication;Other specification for TIPS indication;;;STRING;;;330;233;10
Treatment;233:10;Longitudinal;urn:osse-11:record:41:1;13. Antibiotic prophylaxis;false;false;urn:osse-11:dataelement:178:1;Antibiotic prophylaxis;Antibiotic prophylaxis;;;enumerated;enumerated;;331;233;10
Treatment;233:10;Longitudinal;urn:osse-11:record:41:1;13. Antibiotic prophylaxis;false;false;urn:osse-11:dataelement:179:1;Indication;Indication for antibiotic prophylaxis;;;enumerated;enumerated;;332;233;10
Treatment;233:10;Longitudinal;urn:osse-11:record:42:1;15. Corticosteroids;false;false;urn:osse-11:dataelement:181:1;Corticosteroids;Corticosteroids;;;enumerated;enumerated;;335;233;10
Treatment;233:10;Longitudinal;urn:osse-11:record:42:1;15. Corticosteroids;false;false;urn:osse-11:dataelement:182:1;Indication (other than autoimmune cirrhosis);Indication for Corticosteroids (other than autoimmune cirrhosis);;;STRING;;;336;233;10
Treatment;233:10;Longitudinal;urn:osse-11:record:43:1;16. Treatments for HCC;false;false;urn:osse-11:dataelement:183:1;Treatments for HCC;Treatments for HCC;;;enumerated;enumerated;;337;233;10
Treatment;233:10;Longitudinal;urn:osse-11:record:43:1;16. Treatments for HCC;false;false;urn:osse-11:dataelement:184:1;Type of treatments;Type of treatments for HCC;;;enumerated;enumerated;;338;233;10
Treatment;233:10;Longitudinal;urn:osse-11:record:44:1;18. Oral antidiabetics;false;false;urn:osse-11:dataelement:186:1;Oral antidiabetics;Oral antidiabetics;;;enumerated;enumerated;;340;233;10
Treatment;233:10;Longitudinal;urn:osse-11:record:44:1;18. Oral antidiabetics;false;false;urn:osse-11:dataelement:187:1;Metformin;Metformin for oral antidiabetics;;;enumerated;enumerated;;341;233;10
Treatment;233:10;Longitudinal;urn:osse-11:record:45:1;20. Non-bariatric surgery;false;false;urn:osse-11:dataelement:189:1;Non-bariatric surgery;Non-bariatric surgery;;;enumerated;enumerated;;343;233;10
Treatment;233:10;Longitudinal;urn:osse-11:record:45:1;20. Non-bariatric surgery;false;false;urn:osse-11:dataelement:190:1;Type of surgery;Type of surgery;;;enumerated;enumerated;;344;233;10
Previous treatments;227:3;Basic;urn:osse-11:record:46:1;21. ICU admission;true;false;urn:osse-11:dataelement:191:1;ICU admission;ICU admission;;;enumerated;enumerated;;154;227;3
Previous treatments;227:3;Basic;urn:osse-11:record:46:1;21. ICU admission;true;false;urn:osse-11:dataelement:192:1;Number of ICU admissions;Number of ICU admissions;;;INTEGER;0<=x<=20;;155;227;3
Clinical features;229:3;Longitudinal;urn:osse-11:record:49:1;1. Ascites;true;false;urn:osse-11:dataelement:114:1;1. Ascites;1. Ascites;;;enumerated;enumerated;;175;229;3
Clinical features;229:3;Longitudinal;urn:osse-11:record:49:1;1. Ascites;true;false;urn:osse-11:dataelement:117:1; Maximum grade of ascites; Maximum grade of ascites;;;enumerated;enumerated;;176;229;3
Clinical features;229:3;Longitudinal;urn:osse-11:record:50:1;2. Hepatic encephalopathy;true;false;urn:osse-11:dataelement:115:1;2. Hepatic encephalopathy;2. Hepatic encephalopathy;;;enumerated;enumerated;;177;229;3
Clinical features;229:3;Longitudinal;urn:osse-11:record:50:1;2. Hepatic encephalopathy;true;false;urn:osse-11:dataelement:63:1;West Haven grade;West Haven grade of Hepatic encephalopathy;;;enumerated;enumerated;;178;229;3
Clinical features;229:3;Longitudinal;urn:osse-11:record:50:1;2. Hepatic encephalopathy;true;false;urn:osse-11:dataelement:209:1;Precipitating events HE;Precipitating events HE;;;enumerated;enumerated;;179;229;3
Screen data;222:8;Basic;;;;;urn:osse-11:dataelement:43:2;Patient ID;Patient's identification number of ACLF-I (should be the same as the sample ID);true;false;STRING;;;3;222;8
ACLF evaluation;224:4;Basic;;;;;urn:osse-11:dataelement:62:1;Cerebral failure;West Haven grade 3 to 4;false;false;enumerated;enumerated;;19;224;4
ACLF evaluation;224:4;Basic;;;;;urn:osse-11:dataelement:63:1;West Haven grade;West Haven grade of Hepatic encephalopathy;false;false;enumerated;enumerated;;20;224;4
Patient�s information and Medical history;225:2;Basic;;;;;urn:osse-11:dataelement:55:1;Date of birth;Date of birth;true;false;DATE;DD.MM.YYYY;;50;225;2
Patient�s information and Medical history;225:2;Basic;;;;;urn:osse-11:dataelement:92:1;Gender;Gender;true;false;enumerated;enumerated;;51;225;2
Patient�s information and Medical history;225:2;Basic;;;;;urn:osse-11:dataelement:104:1;Etiology of cirrhosis;Etiology of cirrhosis;true;false;enumerated;enumerated;;63;225;2
Patient�s information and Medical history;225:2;Basic;;;;;urn:osse-11:dataelement:346:1;If other, please specify;Specify the other conditions;false;false;STRING;;;64;225;2
Patient�s information and Medical history;225:2;Basic;;;;;urn:osse-11:dataelement:105:1;Biopsy proved cirrhosis;Biopsy proved cirrhosis;true;false;enumerated;enumerated;;65;225;2
Previous clinical course;226:11;Basic;;;;;urn:osse-11:dataelement:112:1;Time prior to Hospital Study Admission;Time prior to Hospital Study Admission;true;false;enumerated;enumerated;;68;226;11
Previous clinical course;226:11;Basic;;;;;urn:osse-11:dataelement:113:1;Any prior decompensation prior to hospital study admission ?;Any prior decompensation prior to hospital study admission ?;true;false;enumerated;enumerated;;72;226;11
Previous clinical course;226:11;Basic;;;;;urn:osse-11:dataelement:130:1;6. Acute alcoholic-steatohepatitis (ASH);6. Acute alcoholic-steatohepatitis (ASH);false;false;enumerated;enumerated;;92;226;11
Previous clinical course;226:11;Basic;;;;;urn:osse-11:dataelement:131:1;7. Acute viral hepatitis superimposed to cirrhosis;7. Acute viral hepatitis superimposed to cirrhosis;false;false;enumerated;enumerated;;93;226;11
Previous clinical course;226:11;Basic;;;;;urn:osse-11:dataelement:132:1;8. Suspected drug-induced liver injury;8. Suspected drug-induced liver injury;false;false;enumerated;enumerated;;94;226;11
Previous clinical course;226:11;Basic;;;;;urn:osse-11:dataelement:137:1;Other relevant clinical events;Other relevant clinical events;false;false;STRING;;;99;226;11
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:112:1;Time prior to Hospital Study Admission;Time prior to Hospital Study Admission;true;false;enumerated;enumerated;;100;227;3
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:158:1;6. Other type of cirrhosis;6. Other type of cirrhosis treatment;false;false;enumerated;enumerated;;121;227;3
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:159:1;7. Continuous treatment;7. Continuous treatment;false;false;enumerated;enumerated;;122;227;3
